InstanceName: vrplc9_5_10_s1
T: 3450
R: 20
Q: 15
C: 10

      L         X         Y
     L-D          0          0
     L-1       -299        253
     L-2        207       -161
     L-3       -345        184
     L-4       -368       -345
     L-5       -184        345

      R         L         A         B         S         Q
     R-1        L-3        875       2145        414          4
     R-2        L-2       1084       2576        443          5
     R-3        L-1       2360       2686        320          3
     R-4        L-2       1953       2484        235          2
     R-5        L-5        373       1629        423          4
     R-6        L-4        339       1813        368          1
     R-7        L-1       1709       2237        211          1
     R-8        L-5        280       1041        432          3
     R-9        L-2       1843       2600        448          1
    R-10        L-2       2124       2596        320          2
    R-11        L-4        490       1899        262          5
    R-12        L-2       1789       2789        302          5
    R-13        L-4       1877       2973        349          5
    R-14        L-4       1780       3134        362          3
    R-15        L-4        309        881        247          1
    R-16        L-5       2213       3575        235          5
    R-17        L-3       1109       2224        492          5
    R-18        L-3        661       1301        292          3
    R-19        L-1       1619       2478        356          2
    R-20        L-3        468       1635        289          2
    R-21        L-4        350       1310        466          2
    R-22        L-5        258       1640        377          4
    R-23        L-5       1212       1869        325          1
    R-24        L-1       1999       3396        408          3
    R-25        L-1        413       1338        332          4
    R-26        L-1       1218       2312        287          3
    R-27        L-1        798       2055        277          3
    R-28        L-1        771       2221        469          2
    R-29        L-5       1698       2731        278          4
    R-30        L-4       2184       3605        497          3
    R-31        L-2        768       1806        473          1
    R-32        L-3       1766       2078        264          5
    R-33        L-3       1535       2724        327          4
    R-34        L-1        767       1325        268          4
    R-35        L-4        584        930        295          2
    R-36        L-2        494       1330        260          3
    R-37        L-4       2406       3583        366          2
    R-38        L-4        880       1548        292          2
    R-39        L-5       2452       3911        223          1
    R-40        L-1        232       1580        398          4
    R-41        L-5        918       1754        319          3
    R-42        L-2        371       1492        325          3
    R-43        L-5       1408       2868        457          1
    R-44        L-5       2434       3704        230          3
    R-45        L-5       2317       3272        358          5
    R-46        L-5       2496       2923        297          3
    R-47        L-3       1024       1538        381          4
    R-48        L-4        640       1028        238          5
    R-49        L-5        281       1671        426          5
    R-50        L-2       1794       2343        405          1
